host_time_epoch_s,host_time_monotonic_s,device_millis,plot_time_s,time_source,vswr,motor1_pos,motor2_pos,at_match
1777488747.823643,2.08965502679348e-07,1193249,2.08965502679348e-07,host,1.214968,0.698993,0.104556,0
1777488747.932509,0.10886608401779085,1193358,0.10886608401779085,host,1.203804,0.689176,0.092775,0
1777488750.921097,3.097397750010714,1196346,3.097397750010714,host,1.124524,0.689176,0.083449,1
1777488754.308552,6.484795750002377,1199734,6.484795750002377,host,1.316279,0.689176,0.083449,1
1777488754.3762822,6.552530333981849,1199802,6.552530333981849,host,1.315678,0.689176,0.083449,1
1777488755.006436,7.182671000016853,1200432,7.182671000016853,host,1.314448,0.689176,0.083449,1
1777488756.691621,8.86782708397368,1202117,8.86782708397368,host,1.313099,0.689176,0.083449,1
1777488757.4067898,9.582980458973907,1202832,9.582980458973907,host,1.312574,0.689176,0.083449,1
1777488758.002624,10.178803667018656,1203428,10.178803667018656,host,1.311154,0.689176,0.083449,1
1777488759.3816571,11.55781562498305,1204807,11.55781562498305,host,1.310231,0.689176,0.083449,1
1777488759.722066,11.898219249967951,1205147,11.898219249967951,host,1.310114,0.689176,0.083449,1
1777488760.028314,12.20446058397647,1205454,12.20446058397647,host,1.309924,0.689176,0.083449,1
1777488761.305344,13.481427999970037,1206730,13.481427999970037,host,1.308957,0.689176,0.083449,1
1777488761.373012,13.549139750015456,1206798,13.549139750015456,host,1.309161,0.689176,0.083449,1
1777488761.628651,13.8047687090002,1207054,13.8047687090002,host,1.308551,0.689176,0.083449,1
1777488762.361001,14.537106750009116,1207786,14.537106750009116,host,1.30881,0.689176,0.083449,1
1777488762.905926,15.082014542014804,1208331,15.082014542014804,host,1.308108,0.689176,0.083449,1
1777488766.003856,18.179898916976526,1211429,18.179898916976526,host,1.309497,0.689176,0.083449,1
1777488771.541613,23.717562459001783,1216966,23.717562459001783,host,1.791138,0.618985,0.048106,0
1777488773.720639,25.896548042015638,1219145,25.896548042015638,host,1.806512,0.621439,0.068232,0
1777488775.690839,27.86671774997376,1221116,27.86671774997376,host,1.807472,0.644509,0.074122,0
1777488777.337764,29.51361199998064,1222762,29.51361199998064,host,1.818371,0.630274,0.093266,0
1777488777.98722,30.163055334007367,1223412,30.163055334007367,host,1.820091,0.61015,0.040252,0
1777488782.6359801,34.811737291980535,1228060,34.811737291980535,host,1.813355,0.721571,-0.000491,0
1777488784.239775,36.41550120897591,1229664,36.41550120897591,host,1.655617,0.779982,0.270472,0
1777488786.0072262,38.18292633397505,1231431,38.18292633397505,host,1.636766,0.637146,0.363247,0
1777488786.769866,38.94555100001162,1232194,38.94555100001162,host,1.652421,0.659234,0.365701,0
1777488788.187773,40.3634328339831,1233612,40.3634328339831,host,1.67183,0.759366,0.43246,0
1777488791.012546,43.188088374969084,1236437,43.188088374969084,host,2.73565,0.527688,0.487929,0
1777488791.1613739,43.33698966697557,1236586,43.33698966697557,host,2.284495,0.615058,0.5753,0
1777488792.578469,44.754056666977704,1238003,44.754056666977704,host,2.300418,0.687703,0.430497,0
1777488793.697608,45.873174000007566,1239121,45.873174000007566,host,2.217891,0.634201,0.14039,0
1777488795.2627368,47.43826891697245,1240687,47.43826891697245,host,1.885782,0.596406,0.290107,0
1777488796.63073,48.80624933401123,1242055,48.80624933401123,host,1.925932,0.562047,0.23022,0
1777488796.800603,48.97612141701393,1242225,48.97612141701393,host,1.917572,0.566465,0.287652,0
1777488797.545567,49.72106712497771,1242970,49.72106712497771,host,1.967025,0.631256,0.344594,0
1777488798.39521,50.5706865839893,1243820,50.5706865839893,host,2.122592,0.605732,0.390736,0
1777488799.2604392,51.43590954202227,1244685,51.43590954202227,host,2.129255,0.535541,0.150698,0
1777488800.014136,52.18959324999014,1245439,52.18959324999014,host,2.115112,0.579717,0.013254,0
1777488800.395328,52.57077929197112,1245820,52.57077929197112,host,2.371893,0.60426,0.009327,0
1777488906.0315678,8.330098353326321e-07,7550,8.330098353326321e-07,host,-1.290801,1.57571,1.57571,1
1777488906.490607,0.4590450000250712,8009,0.4590450000250712,host,-1.380623,1.57571,1.57571,1
1777488906.7456908,0.714130665990524,8265,0.714130665990524,host,-1.33125,1.57571,1.57571,1
1777488906.7967029,0.7651411659899168,8316,0.7651411659899168,host,-1.376712,1.57571,1.57571,1
1777488907.359641,1.3280629999935627,8877,1.3280629999935627,host,-1.405797,1.57571,1.57571,1
1777488907.783743,1.7521542080212384,9302,1.7521542080212384,host,-1.329749,1.57571,1.57571,1
1777488908.1409018,2.109311083040666,9659,2.109311083040666,host,-1.327869,1.57571,1.57571,1
1777488915.981215,9.949342416017316,5508,9.949342416017316,host,-1.423377,1.57571,1.57571,1
1777488916.547694,10.515962290985044,6069,10.515962290985044,host,-1.272727,1.57571,1.57571,1
1777488916.559076,10.527347166032996,6086,10.527347166032996,host,-1.478087,1.57571,1.57571,1
1777488916.576145,10.544416541000828,6103,10.544416541000828,host,-1.365517,1.57571,1.57571,1
1777488917.324853,11.293101833027322,6852,11.293101833027322,host,-1.484848,1.57571,1.57571,1
1777488918.430558,12.39877308299765,7958,12.39877308299765,host,-1.297029,1.57571,1.57571,1
1777488919.70642,13.674629374989308,9233,13.674629374989308,host,-1.489451,1.57571,1.57571,1
1777488920.114669,14.082871999999043,9642,14.082871999999043,host,-1.281967,1.57571,1.57571,1
1777488920.795097,14.763288000016473,10322,14.763288000016473,host,-1.35249,1.57571,1.57571,1
1777488921.6797261,15.647899083036464,11207,15.647899083036464,host,-1.314285,1.57571,1.57571,1
1777488923.125699,17.09385091601871,12652,17.09385091601871,host,-1.490118,1.57571,1.57571,1
1777488923.414776,17.382925041019917,12942,17.382925041019917,host,-1.394265,1.57571,1.57571,1
1777488923.9422169,17.910339583002497,13469,17.910339583002497,host,-1.409266,1.57571,1.57571,1
1777488924.043882,18.012025125033688,13571,18.012025125033688,host,-1.477732,1.57571,1.57571,1
1777488924.469291,18.43742395803565,13996,18.43742395803565,host,-1.3367,1.57571,1.57571,1
1777488926.1707919,20.13889070803998,15697,20.13889070803998,host,-1.242236,1.57571,1.57571,1
1777488927.123314,21.091395499999635,16650,21.091395499999635,host,-1.653061,1.57571,1.57571,1
1777488928.007988,21.976053166028578,17535,21.976053166028578,host,-1.283636,1.57571,1.57571,1
